a	0.7127133145261989
i	0.8231136529175321
n	0.32535738074499154
o	0.8308694562766225
r	0.20445958501083927
e	0.6493944808417709
t	0.31858834904520184
h	0.2431188069262336
m	0.2609518658734451
l	0.19474276362892504
u	0.28348816302067725
j	0.27857570317175345
y	0.41768579492003766
s	0.245839636913767
d	0.09591219977731828
p	0.22600795002839297
b	0.2242822966507177
k	0.1289710763394974
z	0.3593314763231198
v	0.1332868108862526
g	0.2496194824961948
f	0.17218543046357615
w	0.16666666666666666
q	0.11464968152866242
